id,category,issue,polarity,source,language,text,reference,group_id
00103,intrinsic,notation struggle,neg,augmented,tagalog,"lagi ako nalilito sa mga arrow at asterisk symbol kapag sinusundan namin ang mga memory address, literal na parang puro gibberish kapag nakasulat",,28
00104,intrinsic,notation struggle,neg,augmented,tagalog,mas mahirap isulat yung actual step-by-step na logic gamit ang formal math symbols para sa homework namin kesa ipaliwanag na lang ang solution gamit ang simple terms,,29
00105,intrinsic,notation struggle,neg,augmented,tagalog,sakit ng ulo ko pag binabasa ko state transition tables kasi nagsasama-sama na lang sa paningin ko yung mga Greek symbols at inputs,,30
00106,intrinsic,notation struggle,neg,augmented,tagalog,sobrang abstract ng syntax ng assembly instructions kaya palagi kong napagpapalit yung register at actual values,,31
00107,intrinsic,notation struggle,neg,augmented,tagalog,lagi akong nawawalan ng points kasi nakakalimutan kong maglagay ng semicolon o mali pagkakalagay ko ng curly brace sa code block,,32
00108,intrinsic,notation struggle,neg,augmented,tagalog,"pahirap yung sulat ni sir ng database schema definitions na may underline at dashed lines, di ko malaman kung alin ang foreign key",,33
00109,intrinsic,notation struggle,neg,augmented,tagalog,"imposibleng intindihin yung regular expression, parang may basta na lang nag-type ng kung anu-ano sa keyboard",,34
00110,intrinsic,notation struggle,neg,augmented,tagalog,gets ko yung main concept ng lesson kaso nililito talaga ako sa mathematical notation na ginagamit para sa probability distributions tuwing exams,,35
00111,intrinsic,notation struggle,neg,augmented,tagalog,sobrang komplikado ng syntax sa pagdeklara ng multi-dimensional arrays at pag-pasa nila sa functions kaya hindi agad nagko-compile code ko sa unang try,,36
00112,intrinsic,notation struggle,neg,augmented,tagalog,ilang oras nasayang kko sa pag-intindi sa kung ano ibig sabihin ng math symbols sa formulas bago ko pa masimulang sagutan yung problem set,,37
00113,intrinsic,notation struggle,neg,augmented,tagalog,daming kakaibang abbreviation at formal notation ang ginagamit ni maam sa whiteboard kaya parang puro random na kalokohan na lang notes ko,,38
00114,intrinsic,notation struggle,neg,augmented,tagalog,hirap intindihin ng grammar rules sa compiler design gawa ng nakakalitong format na may mga arrow at pipe,,39
00115,intrinsic,notation struggle,neg,augmented,tagalog,"ayoko ng isang maling tuldok o arrow operator lang sa exercises namin, sira agad buong script",,40
00116,intrinsic,notation struggle,neg,augmented,tagalog,"tagal masyado gawin ng logical equivalence proofs kasi pag nagkamali ka sa isang maliit na shorthand symbol sa simula, mali na ang lahat",,41
00117,intrinsic,notation struggle,neg,augmented,tagalog,mababa nakuha kong score sa quiz kasi di ko maayos na mabasa ang formal definition ng algorithm na nakasulat sa given na pseudo-code,,42
00118,intrinsic,notation struggle,neg,augmented,tagalog,"sobrang tagal kong intindihin ang summation at big O notation formulas sa presentation, nakakatakot tingnan eh",,43
00119,intrinsic,notation struggle,neg,augmented,tagalog,lalo naging komplikado buong lesson dahil sa calculus symbols na ginamit para ipaliwanag ang neural network weights sa machine learning topic namin,,44
00120,intrinsic,notation struggle,neg,augmented,tagalog,lagi akong nalilito sa mga logical operator like ampersands (&) at vertical bars (|) kapag gumagawa kami ng conditional statements,,45
00121,intrinsic,notation struggle,neg,augmented,tagalog,"kawalang gana ang magbasa ng formal grammar notation, gusto ko na langng umalis sa klase; sobrang counter-intuitive kasi ng syntax",,46
00122,intrinsic,notation struggle,neg,augmented,tagalog,"pag sinusulat ng professor yung pointer arithmetic sa whiteboard, parang math problem lang eh imbis na coding lesson",,47
00123,intrinsic,notation struggle,neg,augmented,tagalog,sobrang nahirapan akong intindihin ang relational algebra symbols kasi magkakamukha mga symbol,,48
00124,intrinsic,notation struggle,neg,augmented,tagalog,sobrang nakakalito sundan yung bitwise shift symbols sa information security exercises namin kapag magkakasunod ang lahat sa isang line,,49
00125,intrinsic,notation struggle,neg,augmented,tagalog,"pahirapan sauluhin yung eksaktong formatting at structural syntax ng configuration files, bangungot eh",,50
00126,intrinsic,notation struggle,neg,augmented,tagalog,"sobrang abstract ng CNT101, basta na lang lumilitaw mga formula nang walang paliwanag kung paano gamitin",,51
00127,intrinsic,notation struggle,neg,augmented,tagalog,di ko gets kung bat gumagamit kami ng ganon kalumng programming language para sa CSP107 na wala namang documentation online,,52
00128,intrinsic,notation struggle,neg,augmented,tagalog,kinokopya lang ng instructor mahahabang mathematical proofs sa whiteboard tas aasahang makabisado namin yung mga variable na yon,,53
00129,intrinsic,notation struggle,neg,augmented,tagalog,parang advanced physics ang ginagawa namin gawa nung di naman pinaliwanag na constants na basta na lang isinasama sa coding logic,,54
00130,intrinsic,notation struggle,neg,augmented,tagalog,"gumagamit ng mga kakaibang symbol yung manual na ibinigay sa amin, hindi man lang pinaliwanag ng professor habang nagtuturo",,55
00131,intrinsic,notation struggle,neg,augmented,tagalog,"parang math class na nagkunwaring tech course yung CSP106, tapos di naman maayos na ipinapaliwanag mga equation",,56
00132,intrinsic,notation struggle,neg,augmented,tagalog,maghapon kaming nakatitig sa mahabang code na puro shorthand terms na di maintindihan,,57
00133,intrinsic,notation struggle,neg,augmented,tagalog,parang puro screenshots lang ng lumang textbook nung nineties yung slides na nonsense na naman ngayon,,58
00134,intrinsic,notation struggle,neg,augmented,tagalog,"lunod ako sa lahat ng kumplikadong algorithms, nilalaktawan ba naman nang buo yung step-by-step process",,59
00135,intrinsic,notation struggle,neg,augmented,tagalog,puro jargon teacher namin mula sa dati niyang trabaho sa industry na wala naman saming mga undergraduate ang nakarinig na,,60
00136,intrinsic,notation struggle,neg,augmented,tagalog,"imposible sagutan yung exercises sa module na, di naman itinuro sa amin mga basic rule",,61
00137,intrinsic,notation struggle,neg,augmented,tagalog,ibang-iba notations na ginagamit sa homework kumpara sa mga ipinakita sa lecture,,62
00138,intrinsic,notation struggle,neg,augmented,tagalog,parang nagbabasa lang ako ng script na isinulat nong unang panahon sa sobrang gulo at luma ng syntax,,63
00139,intrinsic,notation struggle,neg,augmented,tagalog,pinipilit nila kaming gumamit ng command line tool na nakakalito ang interface at wala man lang guide,,64
00140,intrinsic,notation struggle,neg,augmented,tagalog,diretso agad yung lecture sa mahihirap na computation nang hindi man lang pinapaliwanag kung ano yung base number,,65
00141,intrinsic,notation struggle,neg,augmented,tagalog,parang malalaking sapot ng gagamba na may random na lines at letters na hindi naman related yung mga diagram sa board,,66
00142,intrinsic,notation struggle,neg,augmented,tagalog,naligaw ako sa ipinapakita ang logic gates nang walang practical context kung pano talaga sil gumagana,,67
00143,intrinsic,notation struggle,neg,augmented,tagalog,may syntax na naglalabas ng errors kahit eksaktong kinopya mo naman yung nasa reference material para sa code na to,,68
00144,intrinsic,notation struggle,neg,augmented,tagalog,sinubok kami sa mabigat na theory na need ng maraming complex na arithmetic eh hindi naman namin naturo sa klase,,69
00145,intrinsic,notation struggle,neg,augmented,tagalog,"puro mahahabang text na may nakakalitong abbreviations yung nakasulat sa powerpoint, parang mismong code na eh",,70
00146,intrinsic,notation struggle,neg,augmented,tagalog,puro advanced structural rules binabanggit pero di naman nagpapakita ng example kung pano yon isulat,,71
00147,intrinsic,notation struggle,neg,augmented,tagalog,parang data dump lang ng mga term yung buong lesson na hindi naman malinaw na pinaghiwalay sa isa't-isa,,72
00148,intrinsic,notation struggle,neg,augmented,tagalog,hindi ko masundan ang logic sa steps kasi dineretso lang ni ma'am yung problema sa sagot,,73
00149,intrinsic,notation struggle,neg,augmented,tagalog,sakit sa ulo tsaka nakakalito yung ginamit na naming convention sa mga function na pinag-aaralan namin,,74
00150,intrinsic,notation struggle,neg,augmented,tagalog,hirap gawin ng project pag yung main matrix operations ay di man lang ipinaliwanag nang maayos ng instructor,,75
00151,intrinsic,notation struggle,neg,augmented,tagalog,di ko maintindihan symobls sa unified modeling language,,1102
00152,intrinsic,notation struggle,neg,augmented,tagalog,litong lito ako kanina sa meaning ng palatandaan sa diagrams,,1103
00153,intrinsic,notation struggle,neg,augmented,tagalog,di ko makilala gamit ng symbols,,1104
00154,intrinsic,notation struggle,neg,augmented,tagalog,hirap tandaan notations sa assignment,,1105
00155,intrinsic,notation struggle,neg,augmented,tagalog,kalito masyado lines na ginamit sa diagrams,,1106
00156,intrinsic,notation struggle,neg,augmented,tagalog,"di ko maintindihan meaning ng mga arrows, dami",,1107
00157,intrinsic,notation struggle,neg,augmented,tagalog,"dami ng symbols, hirap basahin",,1108
00158,intrinsic,notation struggle,neg,augmented,tagalog,nalalabuan ako sa mga gamit ng notation,,1109
00159,intrinsic,notation struggle,neg,augmented,tagalog,napagpapalit ko lagi symbols,,1110
00160,intrinsic,notation struggle,neg,augmented,tagalog,kalito pag sabay-sabay ginagamit mga notations,,1111
00161,intrinsic,notation struggle,neg,augmented,tagalog,hirap intindihin notations sa pseudocode,,1112
00162,intrinsic,notation struggle,neg,augmented,tagalog,pahirapan lagi pag conversion ng pseudocode sa actual program,,1113
00163,intrinsic,notation struggle,neg,augmented,tagalog,kalito ng mga symbols sa pinagamit na algorithm,,1114
00164,intrinsic,notation struggle,neg,augmented,tagalog,di ako lagi makasabay sa notation ng example sa recursion,,1115
00165,intrinsic,notation struggle,neg,augmented,tagalog,di ko makilala meaning ng operators,,1116
00166,intrinsic,notation struggle,neg,augmented,tagalog,di ko pa rin talaga mabasa mga sample na pseudocode,,1117
00167,intrinsic,notation struggle,neg,augmented,tagalog,"kalito naman po ng pagkakasunod ng symbols, help",,1118
00168,intrinsic,notation struggle,neg,augmented,tagalog,di ko gets kung bat iba notation sa ibang topic,,1119
00169,intrinsic,notation struggle,neg,augmented,tagalog,hirap talaga akong basahin algorithms pag syntax lang tinitignan,,1120
00170,intrinsic,notation struggle,neg,augmented,tagalog,cant relate yung notation sa actual declaration ng programs,,1121
00171,intrinsic,notation struggle,neg,augmented,tagalog,litong lito pa rin ako sa representation ng binary tree,,1122
00172,intrinsic,notation struggle,neg,augmented,tagalog,hirap basahin ng mga graphs ni sir,,1123
00173,intrinsic,notation struggle,neg,augmented,tagalog,natatagalan lagi ako maintindihan notations lalo sa adjacency matrix.,,1124
00174,intrinsic,notation struggle,neg,augmented,tagalog,pag talaga graph traversal di ko gets symbols,,1125
00175,intrinsic,notation struggle,neg,augmented,tagalog,di ko makita difference ng representation sa graph,,1126
00176,intrinsic,notation struggle,neg,augmented,tagalog,nahuhuli na naman ako sa analyzation ng tree diagrams,,1127
00177,intrinsic,notation struggle,neg,augmented,tagalog,kalito talaga labesl sa graph,,1128
00178,intrinsic,notation struggle,neg,augmented,tagalog,hirap hanapin relations ng mga data structure,,1129
00179,intrinsic,notation struggle,neg,augmented,tagalog,"di ko mabasa tinutukoy nung mga nodes, para san ba yon",,1130
00180,intrinsic,notation struggle,neg,augmented,tagalog,kalito naman ng notation sa weighted graph,,1131
00181,intrinsic,notation struggle,neg,augmented,tagalog,di ko pa ring gets symbols sa entity relationship diagaram,,1132
00182,intrinsic,notation struggle,neg,augmented,tagalog,di ko pa rin recognized agad mga relations sa diagram,,1133
00183,intrinsic,notation struggle,neg,augmented,tagalog,kalito po ng symbols sa cardinality,,1134
00184,intrinsic,notation struggle,neg,augmented,tagalog,hirap analyze ng meaning ng ibat ibang data kahit may table,,1135
00185,intrinsic,notation struggle,neg,augmented,tagalog,di ko gets tinutukoy ni sir na primary at foreign key,,1136
00186,intrinsic,notation struggle,neg,augmented,tagalog,nalilito ako sa mga symbols ng data models,,1137
00187,intrinsic,notation struggle,neg,augmented,tagalog,hirap basahin lalo pag komplikado entity relationship diagram,,1138
00188,intrinsic,notation struggle,neg,augmented,taglish,sulat-kamay lang yung mga overheads niya buong quater tapos puno ng abbreviations kaya marami ang nagstruggle,,1
00189,intrinsic,notation struggle,neg,augmented,taglish,"isa to sa mga course na hindi ko talaga nagustuhan. Ayos naman kung paano in-organize yung lessons, pero nakakainis gamitin ang racket pero okay lang kasi naging komporatable naman sa recursion after non",,2
00190,intrinsic,notation struggle,neg,augmented,taglish,itinuro ang course na to gamit ang lumang language na wala namang gumagamit at nakaka-gets,,3
00191,intrinsic,notation struggle,neg,augmented,taglish,"Medyo nakakainis talaga yung Design Recipe, lalo na yung part na kailangan mo pa magsulat para mag-explain ng code mo tapos wala pa palang loop sa DrRacket, kaya kailangan talaga maintindihan yung recursion",,4
00192,intrinsic,notation struggle,neg,augmented,taglish,"bro, ayoko na sa Design Recipe, nababawasan points mo di mo alam kung bakit eh",,5
00193,intrinsic,notation struggle,neg,augmented,taglish,"hirap ng course na to lalo na kung wala kang background sa pagsulat ng formal proofs, sobrang nag-struggle talaga ako",,6
00194,intrinsic,notation struggle,neg,augmented,taglish,"kinukuha ko yung stats niya, tapos parang totally foreign language talaga siya from day one",,7
00195,intrinsic,notation struggle,neg,augmented,taglish,as in parang calculus lang na may complex numbers,,8
00196,intrinsic,notation struggle,neg,augmented,taglish,"hindi naman siguro mahirap ang math sa course na to pero kapag di maayos ang pag-explain sa formulas at constants, mahirap talaga gawin ang problem",,9
00197,intrinsic,notation struggle,neg,augmented,taglish,"try mo maging medyo flexible sa pag-intindi mo sa BEDMAS kasi minsan hindi rin pinafollow ni Legge yun. halimbawa sa isang assignment, sinabi niyang ab/cd == ab/(cd).",,10
00198,intrinsic,notation struggle,neg,augmented,taglish,"Halos buong course, about random variables lang talaga. medyo nakaka-burnout na yung content pagtumagal",,11
00199,intrinsic,notation struggle,neg,augmented,taglish,Grabe nakakatakot talaga kapag wala ka pang experience sa programming tapos naka-depend ka lang sa buong Dev C++ environment habang nagde-debug ng compiler errors. Better siguro if may kaibigan ka na magaling talaga mag-program,,12
