id,category,issue,polarity,source,language,text,reference,group_id,cleaned_text
69,intrinsic,notation struggle,neg,real,english,We are being tested on heavy theory that requires a lot of deep arithmetic we never practiced in class.,,69,We are being tested on heavy theory that requires a lot of deep arithmetic we never practiced in class.
70,intrinsic,notation struggle,neg,real,english,The powerpoint is just a wall of text with weird abbreviations like it was written in code itself.,,70,The powerpoint is just a wall of text with weird abbreviations like it was written in code itself.
71,intrinsic,notation struggle,neg,real,english,He keeps mentioning these advanced structural rules but never shows an actual example of how to write it.,,71,He keeps mentioning these advanced structural rules but never shows an actual example of how to write it.
72,intrinsic,notation struggle,neg,real,english,The entire lesson felt like a massive data dump of terms that were never clearly separated from each other.,,72,The entire lesson felt like a massive data dump of terms that were never clearly separated from each other.
73,intrinsic,notation struggle,neg,real,english,I cannot follow the logic behind the steps because the professor just jumps from the problem straight to the answer.,,73,I cannot follow the logic behind the steps because the professor just jumps from the problem straight to the answer.
75,intrinsic,notation struggle,neg,real,english,It is hard to do the project when the underlying matrix operations are left completely unexplained by the instructor.,,75,It is hard to do the project when the underlying matrix operations are left completely unexplained by the instructor.
76,intrinsic,notation struggle,neg,augmented,tagalog,handwritten overheads yung ginamit buong quarter na may mga abbreviation eh wala namang nakakaintindi noon,,1,handwritten overheads yung ginamit buong quarter na may mga abbreviation eh wala namang nakakaintindi noon
78,intrinsic,notation struggle,neg,augmented,tagalog,tinuro yung course sa language na wala namang gumagamit o nakakaintindi,,3,tinuro yung course sa language na wala namang gumagamit o nakakaintindi
79,intrinsic,notation struggle,neg,augmented,tagalog,"nakakainis, lagi na lang kailangan gawin yung design recipe, lalo yung pagsulat ng paliwanag para sa mga code. walang loop sa DrRacket kaya need talagang maintindihan recursion",,4,"nakakainis, lagi na lang kailangan gawin yung design recipe, lalo yung pagsulat ng paliwanag para sa mga code. walang loop sa DrRacket kaya need talagang maintindihan recursion"
81,intrinsic,notation struggle,neg,augmented,tagalog,"hirap naman ng course na to, lalo kung walang experience sa pagsulat ng formal proofs",,6,"hirap naman ng course na to, lalo kung walang experience sa pagsulat ng formal proofs"
82,intrinsic,notation struggle,neg,augmented,tagalog,"statistics kinukuha ko sa kanya, para lang foreign language eh",,7,"statistics kinukuha ko sa kanya, para lang foreign language eh"
84,intrinsic,notation struggle,neg,augmented,tagalog,"hindi naman mahirap ang math sa kursong 'to, kaso kapag hindi maayos na naipapaliwanag ang mga formula at constants, imposibleng sagutan mga problem",,9,"hindi naman mahirap ang math sa kursong 'to, kaso kapag hindi maayos na naipapaliwanag ang mga formula at constants, imposibleng sagutan mga problem"
85,intrinsic,notation struggle,neg,augmented,tagalog,"try mo maging medyo flexible sa pag-intindi sa BEDMAS, minsan kansi hindi sinusunod ni Legge, like, sa isang assignment, sinabi niyang ab/cd == ab/(cd)",,10,"try mo maging medyo flexible sa pag-intindi sa BEDMAS, minsan kansi hindi sinusunod ni Legge, like, sa isang assignment, sinabi niyang ab/cd == ab/(cd)"
86,intrinsic,notation struggle,neg,augmented,tagalog,halos tungkol sa random variables lang ang buong kurso. medyo boring na content pagtagal,,11,halos tungkol sa random variables lang ang buong kurso. medyo boring na content pagtagal
87,intrinsic,notation struggle,neg,augmented,tagalog,nakakatakot pag di pa sanay sa Dev C++ environment at mag-ayos ng compiler errors. siguraduhin mong may isa sa mga kaibigan mong magaling,,12,nakakatakot pag di pa sanay sa Dev C++ environment at mag-ayos ng compiler errors. siguraduhin mong may isa sa mga kaibigan mong magaling
88,intrinsic,notation struggle,neg,augmented,tagalog,madali lang sa simula yung mga concept check kaso nagiging mas kumplikado sa dami ng string at list methods na ginagamit namin,,13,madali lang sa simula yung mga concept check kaso nagiging mas kumplikado sa dami ng string at list methods na ginagamit namin
89,intrinsic,notation struggle,neg,augmented,tagalog,"mas madaling gawin yung mga C questions, pero ingat sa memory at pointer stuff kasi baka di gumana program mo",,14,"mas madaling gawin yung mga C questions, pero ingat sa memory at pointer stuff kasi baka di gumana program mo"
90,intrinsic,notation struggle,neg,augmented,tagalog,"hindi ka mawawalan ng puntos sa exams kasi hindi mo kayang gumawa ng algorithms, kundi dahil nakalimutan mong ilagay ang <stdio.h>, isama ang const, o maglagay ng semi-colon",,15,"hindi ka mawawalan ng puntos sa exams kasi hindi mo kayang gumawa ng algorithms, kundi dahil nakalimutan mong ilagay ang <stdio.h>, isama ang const, o maglagay ng semi-colon"
91,intrinsic,notation struggle,neg,augmented,tagalog,siguraduhin mong kabisado mo C memory model at pointers. tapos magaling ka rin dapat magbasa ng C declarations gamit ang right-left rule kasi bibigyan ka nila ng mga random na gibberish tulad ng char (*(*x())[5])();,,16,siguraduhin mong kabisado mo C memory model at pointers. tapos magaling ka rin dapat magbasa ng C declarations gamit ang right-left rule kasi bibigyan ka nila ng mga random na gibberish tulad ng char (*(*x())[5])();
93,intrinsic,notation struggle,neg,augmented,tagalog,focused sa functional programming yung pagtuturo kaya nahirapan ako kasi di naman ako natuto ng Scheme,,18,focused sa functional programming yung pagtuturo kaya nahirapan ako kasi di naman ako natuto ng Scheme
94,intrinsic,notation struggle,neg,augmented,tagalog,"pumasok ako sa course na to nang wala namang alam at mahirap talaga matutunan nang sabay ang Scala, MIPS, at computer architecture",,19,"pumasok ako sa course na to nang wala namang alam at mahirap talaga matutunan nang sabay ang Scala, MIPS, at computer architecture"
96,intrinsic,notation struggle,neg,augmented,tagalog,medyo madaling course nung kinuha ko kahit kailangan magsulat ng marami-raming SQL queries na baka mahirap para sa beginners,,21,medyo madaling course nung kinuha ko kahit kailangan magsulat ng marami-raming SQL queries na baka mahirap para sa beginners
98,intrinsic,notation struggle,neg,augmented,tagalog,pinakamalaking problema ko ay uC++—malaki mawawalang score kung di mo kabisado yung syntax ng language na ito na wala namang gumagamit sa industry,,23,pinakamalaking problema ko ay uC++malaki mawawalang score kung di mo kabisado yung syntax ng language na ito na wala namang gumagamit sa industry
99,intrinsic,notation struggle,neg,augmented,tagalog,medyo pangit yung syntax at halos walang tulong na makukuha bukod sa documentation ng professor namin,,24,medyo pangit yung syntax at halos walang tulong na makukuha bukod sa documentation ng professor namin
100,intrinsic,notation struggle,neg,augmented,tagalog,"maraming useful theory na itinuturo, kaso mahabang time ay spent sa uC++, extension ng C++ na parang wala namang gumagamit outside ng Waterloo. sayang sa oras pagkabisado ng API na di mo na naman gagamitin ulit. mas madali at maganda sanang yung course na 'to kung standard language and ginamit sa pagtuturo",,25,"maraming useful theory na itinuturo, kaso mahabang time ay spent sa uC++, extension ng C++ na parang wala namang gumagamit outside ng Waterloo. sayang sa oras pagkabisado ng API na di mo na naman gagamitin ulit. mas madali at maganda sanang yung course na 'to kung standard language and ginamit sa pagtuturo"
102,intrinsic,notation struggle,neg,augmented,tagalog,daming magkakasunod na bracket at parentheses sa code sa slides kaya di ko na malaman kung aling function ang kabilang sa alin,,27,daming magkakasunod na bracket at parentheses sa code sa slides kaya di ko na malaman kung aling function ang kabilang sa alin
104,intrinsic,notation struggle,neg,augmented,tagalog,mas mahirap isulat yung actual step-by-step na logic gamit ang formal math symbols para sa homework namin kesa ipaliwanag na lang ang solution gamit ang simple terms,,29,mas mahirap isulat yung actual step-by-step na logic gamit ang formal math symbols para sa homework namin kesa ipaliwanag na lang ang solution gamit ang simple terms
105,intrinsic,notation struggle,neg,augmented,tagalog,sakit ng ulo ko pag binabasa ko state transition tables kasi nagsasama-sama na lang sa paningin ko yung mga Greek symbols at inputs,,30,sakit ng ulo ko pag binabasa ko state transition tables kasi nagsasama-sama na lang sa paningin ko yung mga Greek symbols at inputs
106,intrinsic,notation struggle,neg,augmented,tagalog,sobrang abstract ng syntax ng assembly instructions kaya palagi kong napagpapalit yung register at actual values,,31,sobrang abstract ng syntax ng assembly instructions kaya palagi kong napagpapalit yung register at actual values
108,intrinsic,notation struggle,neg,augmented,tagalog,"pahirap yung sulat ni sir ng database schema definitions na may underline at dashed lines, di ko malaman kung alin ang foreign key",,33,"pahirap yung sulat ni sir ng database schema definitions na may underline at dashed lines, di ko malaman kung alin ang foreign key"
109,intrinsic,notation struggle,neg,augmented,tagalog,"imposibleng intindihin yung regular expression, parang may basta na lang nag-type ng kung anu-ano sa keyboard",,34,"imposibleng intindihin yung regular expression, parang may basta na lang nag-type ng kung anu-ano sa keyboard"
110,intrinsic,notation struggle,neg,augmented,tagalog,gets ko yung main concept ng lesson kaso nililito talaga ako sa mathematical notation na ginagamit para sa probability distributions tuwing exams,,35,gets ko yung main concept ng lesson kaso nililito talaga ako sa mathematical notation na ginagamit para sa probability distributions tuwing exams
111,intrinsic,notation struggle,neg,augmented,tagalog,sobrang komplikado ng syntax sa pagdeklara ng multi-dimensional arrays at pag-pasa nila sa functions kaya hindi agad nagko-compile code ko sa unang try,,36,sobrang komplikado ng syntax sa pagdeklara ng multi-dimensional arrays at pag-pasa nila sa functions kaya hindi agad nagko-compile code ko sa unang try
112,intrinsic,notation struggle,neg,augmented,tagalog,ilang oras nasayang kko sa pag-intindi sa kung ano ibig sabihin ng math symbols sa formulas bago ko pa masimulang sagutan yung problem set,,37,ilang oras nasayang kko sa pag-intindi sa kung ano ibig sabihin ng math symbols sa formulas bago ko pa masimulang sagutan yung problem set
113,intrinsic,notation struggle,neg,augmented,tagalog,daming kakaibang abbreviation at formal notation ang ginagamit ni maam sa whiteboard kaya parang puro random na kalokohan na lang notes ko,,38,daming kakaibang abbreviation at formal notation ang ginagamit ni maam sa whiteboard kaya parang puro random na kalokohan na lang notes ko
114,intrinsic,notation struggle,neg,augmented,tagalog,hirap intindihin ng grammar rules sa compiler design gawa ng nakakalitong format na may mga arrow at pipe,,39,hirap intindihin ng grammar rules sa compiler design gawa ng nakakalitong format na may mga arrow at pipe
115,intrinsic,notation struggle,neg,augmented,tagalog,"ayoko ng isang maling tuldok o arrow operator lang sa exercises namin, sira agad buong script",,40,"ayoko ng isang maling tuldok o arrow operator lang sa exercises namin, sira agad buong script"
116,intrinsic,notation struggle,neg,augmented,tagalog,"tagal masyado gawin ng logical equivalence proofs kasi pag nagkamali ka sa isang maliit na shorthand symbol sa simula, mali na ang lahat",,41,"tagal masyado gawin ng logical equivalence proofs kasi pag nagkamali ka sa isang maliit na shorthand symbol sa simula, mali na ang lahat"
120,intrinsic,notation struggle,neg,augmented,tagalog,lagi akong nalilito sa mga logical operator like ampersands (&) at vertical bars (|) kapag gumagawa kami ng conditional statements,,45,lagi akong nalilito sa mga logical operator like ampersands (&) at vertical bars (|) kapag gumagawa kami ng conditional statements
121,intrinsic,notation struggle,neg,augmented,tagalog,"kawalang gana ang magbasa ng formal grammar notation, gusto ko na langng umalis sa klase; sobrang counter-intuitive kasi ng syntax",,46,"kawalang gana ang magbasa ng formal grammar notation, gusto ko na langng umalis sa klase; sobrang counter-intuitive kasi ng syntax"
122,intrinsic,notation struggle,neg,augmented,tagalog,"pag sinusulat ng professor yung pointer arithmetic sa whiteboard, parang math problem lang eh imbis na coding lesson",,47,"pag sinusulat ng professor yung pointer arithmetic sa whiteboard, parang math problem lang eh imbis na coding lesson"
123,intrinsic,notation struggle,neg,augmented,tagalog,sobrang nahirapan akong intindihin ang relational algebra symbols kasi magkakamukha mga symbol,,48,sobrang nahirapan akong intindihin ang relational algebra symbols kasi magkakamukha mga symbol
125,intrinsic,notation struggle,neg,augmented,tagalog,"pahirapan sauluhin yung eksaktong formatting at structural syntax ng configuration files, bangungot eh",,50,"pahirapan sauluhin yung eksaktong formatting at structural syntax ng configuration files, bangungot eh"
126,intrinsic,notation struggle,neg,augmented,tagalog,"sobrang abstract ng CNT101, basta na lang lumilitaw mga formula nang walang paliwanag kung paano gamitin",,51,"sobrang abstract ng CNT101, basta na lang lumilitaw mga formula nang walang paliwanag kung paano gamitin"
127,intrinsic,notation struggle,neg,augmented,tagalog,di ko gets kung bat gumagamit kami ng ganon kalumng programming language para sa CSP107 na wala namang documentation online,,52,di ko gets kung bat gumagamit kami ng ganon kalumng programming language para sa CSP107 na wala namang documentation online
128,intrinsic,notation struggle,neg,augmented,tagalog,kinokopya lang ng instructor mahahabang mathematical proofs sa whiteboard tas aasahang makabisado namin yung mga variable na yon,,53,kinokopya lang ng instructor mahahabang mathematical proofs sa whiteboard tas aasahang makabisado namin yung mga variable na yon
129,intrinsic,notation struggle,neg,augmented,tagalog,parang advanced physics ang ginagawa namin gawa nung di naman pinaliwanag na constants na basta na lang isinasama sa coding logic,,54,parang advanced physics ang ginagawa namin gawa nung di naman pinaliwanag na constants na basta na lang isinasama sa coding logic
130,intrinsic,notation struggle,neg,augmented,tagalog,"gumagamit ng mga kakaibang symbol yung manual na ibinigay sa amin, hindi man lang pinaliwanag ng professor habang nagtuturo",,55,"gumagamit ng mga kakaibang symbol yung manual na ibinigay sa amin, hindi man lang pinaliwanag ng professor habang nagtuturo"
131,intrinsic,notation struggle,neg,augmented,tagalog,"parang math class na nagkunwaring tech course yung CSP106, tapos di naman maayos na ipinapaliwanag mga equation",,56,"parang math class na nagkunwaring tech course yung CSP106, tapos di naman maayos na ipinapaliwanag mga equation"
135,intrinsic,notation struggle,neg,augmented,tagalog,puro jargon teacher namin mula sa dati niyang trabaho sa industry na wala naman saming mga undergraduate ang nakarinig na,,60,puro jargon teacher namin mula sa dati niyang trabaho sa industry na wala naman saming mga undergraduate ang nakarinig na
137,intrinsic,notation struggle,neg,augmented,tagalog,ibang-iba notations na ginagamit sa homework kumpara sa mga ipinakita sa lecture,,62,ibang-iba notations na ginagamit sa homework kumpara sa mga ipinakita sa lecture
138,intrinsic,notation struggle,neg,augmented,tagalog,parang nagbabasa lang ako ng script na isinulat nong unang panahon sa sobrang gulo at luma ng syntax,,63,parang nagbabasa lang ako ng script na isinulat nong unang panahon sa sobrang gulo at luma ng syntax
139,intrinsic,notation struggle,neg,augmented,tagalog,pinipilit nila kaming gumamit ng command line tool na nakakalito ang interface at wala man lang guide,,64,pinipilit nila kaming gumamit ng command line tool na nakakalito ang interface at wala man lang guide
142,intrinsic,notation struggle,neg,augmented,tagalog,naligaw ako sa ipinapakita ang logic gates nang walang practical context kung pano talaga sil gumagana,,67,naligaw ako sa ipinapakita ang logic gates nang walang practical context kung pano talaga sil gumagana
144,intrinsic,notation struggle,neg,augmented,tagalog,sinubok kami sa mabigat na theory na need ng maraming complex na arithmetic eh hindi naman namin naturo sa klase,,69,sinubok kami sa mabigat na theory na need ng maraming complex na arithmetic eh hindi naman namin naturo sa klase
145,intrinsic,notation struggle,neg,augmented,tagalog,"puro mahahabang text na may nakakalitong abbreviations yung nakasulat sa powerpoint, parang mismong code na eh",,70,"puro mahahabang text na may nakakalitong abbreviations yung nakasulat sa powerpoint, parang mismong code na eh"
146,intrinsic,notation struggle,neg,augmented,tagalog,puro advanced structural rules binabanggit pero di naman nagpapakita ng example kung pano yon isulat,,71,puro advanced structural rules binabanggit pero di naman nagpapakita ng example kung pano yon isulat
147,intrinsic,notation struggle,neg,augmented,tagalog,parang data dump lang ng mga term yung buong lesson na hindi naman malinaw na pinaghiwalay sa isa't-isa,,72,parang data dump lang ng mga term yung buong lesson na hindi naman malinaw na pinaghiwalay sa isa't-isa
148,intrinsic,notation struggle,neg,augmented,tagalog,hindi ko masundan ang logic sa steps kasi dineretso lang ni ma'am yung problema sa sagot,,73,hindi ko masundan ang logic sa steps kasi dineretso lang ni ma'am yung problema sa sagot
150,intrinsic,notation struggle,neg,augmented,tagalog,hirap gawin ng project pag yung main matrix operations ay di man lang ipinaliwanag nang maayos ng instructor,,75,hirap gawin ng project pag yung main matrix operations ay di man lang ipinaliwanag nang maayos ng instructor
151,intrinsic,notation struggle,neg,augmented,tagalog,di ko maintindihan symobls sa unified modeling language,,1102,di ko maintindihan symobls sa unified modeling language
153,intrinsic,notation struggle,neg,augmented,tagalog,di ko makilala gamit ng symbols,,1104,di ko makilala gamit ng symbols
155,intrinsic,notation struggle,neg,augmented,tagalog,kalito masyado lines na ginamit sa diagrams,,1106,kalito masyado lines na ginamit sa diagrams
156,intrinsic,notation struggle,neg,augmented,tagalog,"di ko maintindihan meaning ng mga arrows, dami",,1107,"di ko maintindihan meaning ng mga arrows, dami"
157,intrinsic,notation struggle,neg,augmented,tagalog,"dami ng symbols, hirap basahin",,1108,"dami ng symbols, hirap basahin"
158,intrinsic,notation struggle,neg,augmented,tagalog,nalalabuan ako sa mga gamit ng notation,,1109,nalalabuan ako sa mga gamit ng notation
159,intrinsic,notation struggle,neg,augmented,tagalog,napagpapalit ko lagi symbols,,1110,napagpapalit ko lagi symbols
160,intrinsic,notation struggle,neg,augmented,tagalog,kalito pag sabay-sabay ginagamit mga notations,,1111,kalito pag sabay-sabay ginagamit mga notations
161,intrinsic,notation struggle,neg,augmented,tagalog,hirap intindihin notations sa pseudocode,,1112,hirap intindihin notations sa pseudocode
162,intrinsic,notation struggle,neg,augmented,tagalog,pahirapan lagi pag conversion ng pseudocode sa actual program,,1113,pahirapan lagi pag conversion ng pseudocode sa actual program
163,intrinsic,notation struggle,neg,augmented,tagalog,kalito ng mga symbols sa pinagamit na algorithm,,1114,kalito ng mga symbols sa pinagamit na algorithm
164,intrinsic,notation struggle,neg,augmented,tagalog,di ako lagi makasabay sa notation ng example sa recursion,,1115,di ako lagi makasabay sa notation ng example sa recursion
165,intrinsic,notation struggle,neg,augmented,tagalog,di ko makilala meaning ng operators,,1116,di ko makilala meaning ng operators
166,intrinsic,notation struggle,neg,augmented,tagalog,di ko pa rin talaga mabasa mga sample na pseudocode,,1117,di ko pa rin talaga mabasa mga sample na pseudocode
